revenue_ttm_billion,price_gbp,earnings_ttm_billion,pe_ratio_ttm,marketcap_billion,dividend_yield_ttm,gdp_per_capita,gdp_growth_2024,inflation_rate,interest_rate,exchange_rate,unemployment_rate
1.111498,81.2135066,0.282675,1.51439e-08,2.6489896119194003,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.168766,3.8555176,-0.201221,-3.7594e-09,0.5685808915072,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.361824,0.9867382,-0.100695,-1.0499999999999999e-09,0.08783913282784,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,68.6792646,1.3740052,-1.18468e-08,14.174027027415,1.723309999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.70653,34.459641,0.748221,1.06737e-08,3.8380113922252,1.81262e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.47237,43.3631436,0.218945,1.90265999999999e-08,2.6581822874829,4.50498e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.045913,20.0319284,0.010969,9.16028e-09,0.09062184122624,5.477369999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.597857,6.381415,-0.02277,2.9310300000000002e-08,0.4204886866483,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0,44.70724104,0.0,5.69552e-09,3.0575503694746,0.0,1.281e-05,-0.031,0.413,0.375,0.00286,0.089
0.455991,38.66947,-0.287065,-1.51135e-08,7.1263192385946,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.059173,5.33372,-0.011693,3.19178e-09,0.2960188022834999,2.90276e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.135362,2.6516208,-0.030074,-5.8e-09,0.1915976338214,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.006186,0.714642284,-0.025595,-7.07692e-09,0.134950906279,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.034662,4.6631952,-0.106244,-1.30061e-08,0.9477943634432,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.044,21.201537,0.085,2.11353e-08,1.9831769188557,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.388433,10.09597,-0.004849,2.70204e-08,1.466146802985,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.009667,1.16656076,-0.033885,1.62766e-09,0.04416190931584,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.673165,21.6129954,-0.149438,-6.80952e-08,6.1631187022848,3.07692e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.422611,19.5861818,0.118222,9.66667e-09,1.0652120824678,3.09957e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.061214754,0.39884643808,0.00254052,4.30107e-09,0.03252051985248,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.000925,31.373702999999995,-0.059524,-1.48127e-09,0.4076573290137,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.200627,14.2334128,-0.205976,3.02258e-08,1.0361426135603,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.117203,11.4522588,-0.077499,2.06849e-08,1.4926530628352,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.024252,39.1895077,0.578397,3.8700499999999995e-09,1.9278416037171,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.773698,5.8975704,0.037271,9.683046749999992e-08,1.4948453619558,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,16.2449872,1.3740052,5.210399999999999e-09,8.276820807721,0.0,1.281e-05,-0.031,0.413,0.375,0.00286,0.089
0.003109345,0.3733604,-0.00756803,-3.78529e-11,0.0018687320446799,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.332845,6.983591988,0.024528,-7.87072899999999e-08,0.9661591355545,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.467625,23.9941204,-0.003885,2.02244e-08,1.4685985342464,2.91601e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,5.652524064,0.951994,7.55464e-09,2.5662959919237,3.68468e-10,1.637e-05,0.023,0.0559999999999999,0.1,0.00118,0.07
0.166517,6.50485252,-0.011678,4.275e-08,0.300548892215,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.934205,103.321776,0.161944,2.70178e-08,2.8130593743053,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
5.633856,59.3414448,1.02013,1.91775e-08,10.459344213197,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.31394,6.514758,-0.000285,9.683046749999992e-08,0.3289777051545,3.2445e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
5.540763,68.3135238,0.338796,1.1401999999999901e-08,2.6837172372991,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.750153,153.4701734,1.02555,3.68808e-08,16.60981831119515,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,95.187853,1.3740052,9.683046749999992e-08,16.60981831119515,1.39337e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,153.4701734,1.3740052,2.48658e-08,16.60981831119515,1.35275e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.563435,55.661178,-0.083397,-4.5528e-08,5.8815497825894,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,78.95962892,1.3740052,1.49283e-08,16.60981831119515,3.15233e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.760077,24.916092,0.038505,-3.95572e-08,0.3765867946585,2.821600000000001e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.169762262,7.1062142108,0.030837,1.51418e-08,0.201716202793,6.60995e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
11.364748,70.67445686,1.3740052,2.651010000000001e-08,16.60981831119515,1.30449e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.597877,4.2745956,0.032207,-3.31765e-08,0.6309303349427,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
8.015039,103.9923008,0.757112,2.25261e-08,8.8091974075597,1.1243300000000001e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.198987,13.791476,-0.005227,3.49808e-08,0.08894798578528,2.63881e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.384941,31.0993974,0.144012,8.9452099999999e-09,1.2837457215794998,2.13075e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.033422,6.533807,0.008538,3.6568999999999996e-09,0.04432599892576,5.491989999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,153.4701734,1.3740052,4.05434e-08,16.60981831119515,6.89781e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.062388755,1.2038968,-0.011214,-3.6e-09,0.03524492307168,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.005289948,2.0725312,-0.00772672,-9.69708e-09,0.0054047880092,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.443751,22.6606904,0.157986,8.534480000000001e-09,0.8046448285209,5.2862e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.009918,13.2085766,-0.297111,-4e-09,0.9020083942963,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,92.1666816,1.3740052,9.24924e-09,16.60981831119515,1.8129399999999997e-09,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.087943809,4.6401001924,0.00905543,-3.20992e-08,0.8805199359245,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
6.166,15.124906,0.27,1.77257e-08,2.2144676946022,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.267608,3.780616932,0.01765,3.67858999999999e-08,0.3361641126075,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.0,1.886536764,-0.046907,-1.35326e-09,0.07481193318624,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,34.4672606,1.3740052,6.5007e-09,16.60981831119515,9.03614e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.36678474,6.6174854472,0.064411,1.30702e-08,0.5036837654733,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
-0.038187,4.400319,-0.15123,-7.062589999999999e-09,0.5720458710809,5.892549999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.01159,0.1752508,-0.001605,-2.05961e-13,0.00350103780684,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
10.5193,88.920732,1.3740052,3.18686e-08,16.60981831119515,2.355509999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.8072,7.672480024,-0.3262,-1.7985899999999e-09,0.9733998280857,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.069248,7.8900958,0.050367,-2.65553e-09,0.1840191187046,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.032772,7.4062512,-0.459253,-4.29018e-09,2.2479008901427,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.819611,38.1665764,0.267605,-4.42368e-08,3.4414613674803,3.96589e-07,0.000115,0.087,0.023,0.0025,1.0,0.025
0.071053614,0.18363236,-0.0073256,-8.71522e-10,0.00494321778588,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.387521,44.789227936,0.092375,3.7132100000000003e-08,2.615579043543,8.130079999999989e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.255807,2.15596582,-0.001987,9.683046749999992e-08,0.09290056489792,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.042935,20.1309832,-0.004353,-1.13391e-08,0.1626047998028,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.16918,21.7310992,0.054879,1.14118e-08,0.3628311368742,2.74914e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.069569903,6.7354520944,-0.0129143,-2.58004e-08,0.5300221868704,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
